tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,genre3
tt0080836,Hangar 18,Hangar 18,Hangar 18,1980.0,97,Sci-Fi,,
tt0080836,The Hangar 18 Cover-Up,Hangar 18,Hangar 18,1980.0,97,Sci-Fi,,
tt0080915,Image of the Beast,Image of the Beast,Image of the Beast,1980.0,93,Sci-Fi,Thriller,
tt0080915,A Thief in the Night III: Image of the Beast,Image of the Beast,Image of the Beast,1980.0,93,Sci-Fi,Thriller,
tt0081675,Gamera: Super Monster,Gamera: Super Monster,Uchu kaijû Gamera,1980.0,92,Sci-Fi,,
tt0082733,Memoirs of a Survivor,Memoirs of a Survivor,Memoirs of a Survivor,1981.0,115,Sci-Fi,,
tt0083526,Aftermath,The Aftermath,The Aftermath,1982.0,95,Sci-Fi,Thriller,
tt0083526,The Aftermath,The Aftermath,The Aftermath,1982.0,95,Sci-Fi,Thriller,
tt0083557,Android,Android,Android,1982.0,80,Sci-Fi,,
tt0083690,Shadow of Death,BrainWaves,BrainWaves,1982.0,77,Sci-Fi,Thriller,
tt0083690,BrainWaves,BrainWaves,BrainWaves,1982.0,77,Sci-Fi,Thriller,
tt0083690,Brain Waves,BrainWaves,BrainWaves,1982.0,77,Sci-Fi,Thriller,
tt0084191,Kamikaze 89,Kamikaze 89,Kamikaze 1989,1982.0,106,Sci-Fi,Thriller,
tt0085271,Brainstorm,Brainstorm,Brainstorm,1983.0,106,Sci-Fi,Thriller,
tt0085271,The Gordon Forbes Tapes,Brainstorm,Brainstorm,1983.0,106,Sci-Fi,Thriller,
tt0085426,The Last Battle,The Last Battle,Le dernier combat,1983.0,92,Sci-Fi,,
tt0085426,Le Dernier Combat (The Last Battle),The Last Battle,Le dernier combat,1983.0,92,Sci-Fi,,
tt0085852,Liquid Sky,Liquid Sky,Liquid Sky,1982.0,112,Sci-Fi,Thriller,
tt0086145,The Prodigal Planet,The Prodigal Planet,The Prodigal Planet,1983.0,126,Sci-Fi,Thriller,
tt0086145,A Thief in the Night IV: The Prodigal Planet,The Prodigal Planet,The Prodigal Planet,1983.0,126,Sci-Fi,Thriller,
tt0086571,Wavelength,Wavelength,Wavelength,1983.0,87,Sci-Fi,Thriller,
tt0088824,Blood Circus,Blood Circus,Blood Circus,1987.0,101,Sci-Fi,,
tt0089745,Osa,Osa,Osa,1986.0,92,Sci-Fi,,
tt0091472,Deadly Game,The Manhattan Project,The Manhattan Project,1986.0,117,Sci-Fi,Thriller,
tt0091472,The Manhattan Project,The Manhattan Project,The Manhattan Project,1986.0,117,Sci-Fi,Thriller,
tt0093872,Robot Holocaust,Robot Holocaust,Robot Holocaust,1987.0,79,Sci-Fi,,
tt0094050,Stranded,Stranded,Stranded,1987.0,80,Sci-Fi,,
tt0096784,Alien Seed,Alien Seed,Alien Seed,1989.0,88,Sci-Fi,,
tt0096784,But Deliver Us from Evil,Alien Seed,Alien Seed,1989.0,88,Sci-Fi,,
tt0097293,Escape from Safehaven,Escape from Safehaven,Escape from Safehaven,1989.0,87,Sci-Fi,,
tt0097293,Bloodscape,Escape from Safehaven,Escape from Safehaven,1989.0,87,Sci-Fi,,
tt0097781,Lords of the Deep,Lords of the Deep,Lords of the Deep,1989.0,77,Sci-Fi,Thriller,
tt0122064,Fire Fight,Fire Fight,Fire Fight,1988.0,86,Sci-Fi,,
tt0125201,The Drifting Classroom,The Drifting Classroom,Hyôryu kyôshitsu,1987.0,104,Sci-Fi,,
tt0125366,Lifepod,Lifepod,Lifepod,1981.0,90,Sci-Fi,Thriller,
tt0126237,To the Stars by Hard Ways,To the Stars by Hard Ways,Cherez ternii k zvyozdam,1981.0,148,Sci-Fi,,
tt0126237,Humanoid Woman,To the Stars by Hard Ways,Cherez ternii k zvyozdam,1981.0,148,Sci-Fi,,
tt0130503,Beyond the Universe,Beyond the Universe,Beyond the Universe,1981.0,93,Sci-Fi,,
tt0149428,Prisoners of Styrolia,Captive,Captive,1980.0,95,Sci-Fi,,
tt0149428,Captive,Captive,Captive,1980.0,95,Sci-Fi,,
tt0160386,Human Error,Human Error,Human Error,1988.0,102,Sci-Fi,Thriller,
tt0165433,Primal Scream,Primal Scream,Primal Scream,1987.0,85,Sci-Fi,Thriller,
tt0168922,The Killings at Outpost Zeta,The Killings at Outpost Zeta,The Killings at Outpost Zeta,1980.0,92,Sci-Fi,Thriller,
tt0190229,Alien Outlaw,Alien Outlaw,Alien Outlaw,1985.0,90,Sci-Fi,Western,
tt0209514,The Star Inspector,The Star Inspector,Zvyozdny inspektor,1980.0,81,Sci-Fi,,
tt0229523,Laboratory,Laboratory,Laboratory,1980.0,90,Sci-Fi,,
tt0230961,Return from Orbit,Return from Orbit,Vozvrashchenie s orbity,1984.0,89,Sci-Fi,,
tt0239551,Lansky's Road,Lansky's Road,Lansky's Road,1985.0,\N,Sci-Fi,,
tt0249591,Hyper Space,Hyper Space,Hyper Space,1989.0,81,Sci-Fi,Thriller,
tt0261242,Rock and the Alien,Rock and the Alien,Rock and the Alien,1988.0,82,Sci-Fi,,
tt0263976,Seven Elements,Sem stikhiy,Sem stikhiy,1984.0,74,Sci-Fi,,
tt0264629,Game of Survival,Games of Survival,Games of Survival,1989.0,\N,Sci-Fi,,
tt0264629,Games of Survival,Games of Survival,Games of Survival,1989.0,\N,Sci-Fi,,
tt0272202,Mysterious Planet,Mysterious Planet,Mysterious Planet,1982.0,71,Sci-Fi,,
tt0303945,E.S.P.,E.S.P.,E.S.P.,1983.0,96,Sci-Fi,,
tt0352019,Zoo Ship,Zoo Ship,Zoo Ship,1985.0,\N,Sci-Fi,,
tt0380368,The Brother from Space,The Brother from Space,Fratello dello spazio,1988.0,90,Sci-Fi,,
tt0457490,Star Prison,Star Worms II: Attack of the Pleasure Pods,Star Worms II: Attack of the Pleasure Pods,1985.0,90,Sci-Fi,,
tt0457490,Star Worms II: Attack of the Pleasure Pods,Star Worms II: Attack of the Pleasure Pods,Star Worms II: Attack of the Pleasure Pods,1985.0,90,Sci-Fi,,
tt2390245,Digital Dream,Digital Dream,Digital Dream,1983.0,\N,Sci-Fi,,
tt3128504,Formators: Attack of the Xelans,Formators: Attack of the Xelans,Formators: Attack of the Xelans,1985.0,\N,Sci-Fi,,
tt3919444,Edgar Allan Poe's Plan 13: The House of Elvis,Edgar Allan Poe's Plan 13: The House of Elvis,Edgar Allan Poe's Plan 13: The House of Elvis,1986.0,\N,Sci-Fi,,
tt6161304,Plungerhead,Plungerhead,Plungerhead,1983.0,50,Sci-Fi,,
tt8550848,Secret of Bigfoot,Secret of Bigfoot,Secret of Bigfoot,1980.0,81,Sci-Fi,,
tt0075035,Monster of Blood,Panic,Bakterion,1982.0,93,Horror,Sci-Fi,
tt0079573,Monstroid: It Came from the Lake,Monstroid,Monster,1980.0,98,Horror,Sci-Fi,
tt0079573,The Beast from Beyond,Monstroid,Monster,1980.0,98,Horror,Sci-Fi,
tt0079573,Monstroid,Monstroid,Monster,1980.0,98,Horror,Sci-Fi,
tt0079573,The Toxic Horror,Monstroid,Monster,1980.0,98,Horror,Sci-Fi,
tt0080354,Alligator,Alligator,Alligator,1980.0,91,Horror,Sci-Fi,Thriller
tt0080360,Altered States,Altered States,Altered States,1980.0,102,Horror,Sci-Fi,Thriller
tt0080448,Forest of Fear,Toxic Zombies,Bloodeaters,1980.0,89,Horror,Sci-Fi,
tt0080448,Toxic Zombies,Toxic Zombies,Bloodeaters,1980.0,89,Horror,Sci-Fi,
tt0080527,The Children,The Children,The Children,1980.0,93,Horror,Sci-Fi,
tt0080736,The Final Countdown,The Final Countdown,The Final Countdown,1980.0,103,Action,Sci-Fi,
tt0080771,Galaxina,Galaxina,Galaxina,1980.0,95,Comedy,Sci-Fi,
tt0080904,Humanoids from the Deep,Humanoids from the Deep,Humanoids from the Deep,1980.0,80,Horror,Sci-Fi,
tt0080904,Beneath the Darkness,Humanoids from the Deep,Humanoids from the Deep,1980.0,80,Horror,Sci-Fi,
tt0080931,City of the Walking Dead,Nightmare City,Incubo sulla città contaminata,1980.0,92,Horror,Sci-Fi,Thriller
tt0080931,Nightmare City,Nightmare City,Incubo sulla città contaminata,1980.0,92,Horror,Sci-Fi,Thriller
tt0080933,Giant Claws,Island Claws,Island Claws,1980.0,90,Horror,Sci-Fi,
tt0080933,Island Claws,Island Claws,Island Claws,1980.0,90,Horror,Sci-Fi,
