tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,primaryName
tt0083922,Fanny and Alexander,Fanny and Alexander,Fanny och Alexander,1982.0,188,Drama,,Ingmar Bergman
tt0090955,The Making of 'Fanny and Alexander',The Making of Fanny and Alexander,Dokument Fanny och Alexander,1984.0,110,Documentary,,Ingmar Bergman
tt0080539,City of Women,City of Women,La città delle donne,1980.0,139,Comedy,Drama,Federico Fellini
tt0087188,And the Ship Sails On,And the Ship Sails On,E la nave va,1983.0,132,Drama,History,Federico Fellini
tt0091113,Ginger and Fred,Ginger and Fred,Ginger e Fred,1986.0,125,Comedy,Drama,Federico Fellini
tt0091113,Federico Fellini's Ginger & Fred,Ginger and Fred,Ginger e Fred,1986.0,125,Comedy,Drama,Federico Fellini
tt0093267,Fellini's Intervista,Intervista,Intervista,1987.0,107,Comedy,Drama,Federico Fellini
tt0081505,The Shining,The Shining,The Shining,1980.0,146,Drama,Horror,Stanley Kubrick
tt0093058,Stanley Kubrick's Full Metal Jacket,Full Metal Jacket,Full Metal Jacket,1987.0,116,Drama,War,Stanley Kubrick
tt0080979,Kagemusha,Kagemusha,Kagemusha,1980.0,180,Drama,History,Akira Kurosawa
tt0089881,Ran,Ran,Ran,1985.0,162,Action,Drama,Akira Kurosawa
tt0087386,Harry and Son,Harry & Son,Harry & Son,1984.0,120,Drama,,Paul Newman
tt0087386,Harry & Son,Harry & Son,Harry & Son,1984.0,120,Drama,,Paul Newman
tt0093093,The Glass Menagerie,The Glass Menagerie,The Glass Menagerie,1987.0,134,Drama,,Paul Newman
tt0080610,The Last Metro,The Last Metro,Le dernier métro,1980.0,131,Drama,Romance,François Truffaut
tt0082370,The Woman Next Door,The Woman Next Door,La femme d'à côté,1981.0,106,Drama,Romance,François Truffaut
tt0086551,Let It Be Sunday,Confidentially Yours,Vivement dimanche!,1983.0,110,Comedy,Crime,François Truffaut
tt0086551,Confidentially Yours,Confidentially Yours,Vivement dimanche!,1983.0,110,Comedy,Crime,François Truffaut
tt0489479,Filming 'The Trial',Filming 'The Trial',Filming 'The Trial',1981.0,82,Documentary,,Orson Welles
